id	utterance_id	role	text	search_query	search_URL	reference_date	terminate	regDate	updDate
BK22008290	1	질문자	혹시 ISA 통장이라고 알아요? 요즘 굉장히 주목받는 상품이라고 하던데 저는 처음 들어보거든요.				0	2022-09-12 23:14:58	2022-09-12 23:14:58
BK22008290	2	전문가	ISA는 개인종합자산관리계좌로, Individual Saving Account의 약자를 의미해요. ISA 계좌를 만능통장이라고도 부르는데, 예적금, 펀드, 파생상품 같은 여러 금융상품에 투자할 수 있기 때문이죠.	ISA통장	http://www.sisacast.kr/news/articleView.html?idxno=34360	2022/01/21	0	2022-09-12 23:14:58	2022-09-23 13:25:41
BK22008290	3	질문자	개인종합자산관리계좌라는 거군요. 이게 최근 들어서 가입자가 엄청나게 늘었다고 하던데 실제로 얼마나 증가한 거예요?				0	2022-09-12 23:14:58	2022-09-12 23:14:58
BK22008290	4	전문가	지난해 11월 말을 기준으로 하면 가입자는 314만 6,948명이고, 투자 금액은 11조 9708억 원이나 되는데, 2020년 말에 가입자가 193만 9,102명이었던 것에 비하면 지난해에만 100만 명 넘게 늘어난 거죠. 또 가입 금액도 기존 6조 4029억 원보다 2배 이상 늘어난 셈이고요.	ISA가입자 증가	http://www.dt.co.kr/contents.html?article_no=2022020402109963056001	2022/02/04	0	2022-09-12 23:14:58	2022-09-12 23:14:58
BK22008290	5	질문자	진짜 많이 늘긴 했네요. 이 계좌는 어떤 특징을 가졌는지 궁금한데, 그냥 은행에서 만드는 건가요?				0	2022-09-12 23:14:58	2022-09-12 23:14:58
BK22008290	6	전문가	은행도 가능하고 증권사 같은 금융회사에서도 ISA 통장을 만들 수 있어요. 가입 기간은 3년인데, 계약 기간을 연장할 수도 있고 해지나 만기 된 뒤에 다시 가입하는 것도 가능하고요.	ISA통장 만드는법	http://www.sisacast.kr/news/articleView.html?idxno=34360	2022/01/21	0	2022-09-12 23:14:58	2022-09-23 13:25:41
BK22008290	7	질문자	그렇구나. 그럼 내가 원하는 만큼 액수 상관없이 넣어도 되는 건가요? 한도가 따로 있는지 궁금하네요.				0	2022-09-12 23:14:58	2022-09-12 23:14:58
BK22008290	8	전문가	납입 한도가 따로 있죠. 5년 동안 총 1억 원까지 연간 2천만 원 한도로 넣을 수 있는데, 납입 한도는 이월할 수도 있어요.	ISA계좌 한도	http://www.sisacast.kr/news/articleView.html?idxno=34360	2022/01/21	0	2022-09-12 23:14:58	2022-09-12 23:14:58
BK22008290	9	질문자	5년간 1억이라면 그래도 꽤 괜찮아 보이네요. 혹시 가입 조건 같은 것도 따로 있나요?				0	2022-09-12 23:14:58	2022-09-12 23:14:58
BK22008290	10	전문가	서민형은 근로자의 경우 소득이 5천만 원 이하, 사업자는 3500만 원 이하의 소득이어야 가입할 수 있고 농어민도 가입할 수 있어요. 서민형을 제외하면 일반형으로 가입할 수 있고요.	ISA가입조건	http://www.dt.co.kr/contents.html?article_no=2022020402109963056001	2022/02/04	0	2022-09-12 23:14:58	2022-09-12 23:14:58
BK22008290	11	질문자	소득 조건에 따라 가입할 수 있는 유형이 다른가 보네요. 그럼 투자 방식도 다양하게 나누어지나요?				0	2022-09-12 23:14:58	2022-09-12 23:14:58
BK22008290	12	전문가	네. 먼저 신탁형은 투자자가 직접 다양한 상품을 골라서 신탁업자에게 운용을 맡기게 되죠. 또 일임형은 금융사 같은 전문가의 포트폴리오를 골라서 운용을 모두 맡기는 방식이에요. 마지막으로 중개형도 있는데, 이건 증권사를 통해서만 가입할 수 있고, 상품을 자유롭게 선택하면서 매매도 직접 할 수 있어요.	ISA투자방식	http://www.dt.co.kr/contents.html?article_no=2022020402109963056001	2022/02/04	0	2022-09-12 23:14:58	2022-09-23 13:25:41
BK22008290	13	질문자	그렇구나. 투자 상품은 수수료도 무시 못 하는데, 그럼 이런 다양한 방식에 따라서 수수료도 차이가 나나요?				0	2022-09-12 23:14:58	2022-09-12 23:14:58
BK22008290	14	전문가	신탁형이 연 0.1%인 것과 비교해보면 일임형은 연 0.3%~0.8%로 신탁형보다 좀 더 높아요. 중개형은 따로 계좌 수수료를 부담하지 않고요.	ISA 투자 수수료	http://www.dt.co.kr/contents.html?article_no=2022020402109963056001	2022/02/04	0	2022-09-12 23:14:58	2022-09-12 23:14:58
BK22008290	15	질문자	와, 수수료 부담도 거의 없네요. 그럼 이렇게 스타일에 따라 골라서 투자할 수 있다는 것 외에 ISA 계좌의 가장 큰 장점은 뭐예요?				0	2022-09-12 23:14:58	2022-09-12 23:14:58
BK22008290	16	전문가	비과세 혜택이죠. 2021년 7월에 기획재정부에서 세법 개정안을 발표했는데, ISA 계좌로 국내 주식을 양도하거나 국내 주식형 펀드를 환매할 때 발생하는 금융투자소득에 관해서는 세금을 내지 않아도 된다고 발표했거든요.	ISA계좌 장점	http://www.sisacast.kr/news/articleView.html?idxno=34360	2022/01/21	0	2022-09-12 23:14:58	2022-09-23 13:25:41
BK22008290	17	질문자	역시, 그래서 갑자기 가입자가 많이 늘어난 거구나. 들어 보니 진짜 많은 사람에게 인기를 끌 만한데 혹시 처음 시작하는 사람이라면 주의해야 하는 사항도 있나요?				0	2022-09-12 23:14:58	2022-09-23 13:25:41
BK22008290	18	전문가	가입하고 3년 이상 ISA 계좌를 유지해야 한다는 점을 잊지 말아야 해요. 중도에 불가피하게 계좌를 해지하게 되면 일반과세가 적용되기 때문에 비과세 혜택을 받을 수 없거든요.	ISA계좌 주의할 점	http://www.sisacast.kr/news/articleView.html?idxno=34360	2022/01/21	0	2022-09-12 23:14:58	2022-09-23 13:25:41
BK22008290	19	질문자	최소 3년은 돈을 묶어 놔야 비과세로 수익을 올릴 수 있겠네요. 좀 멀리 보고 계획을 세워야겠어요.				0	2022-09-12 23:14:58	2022-09-12 23:14:58
BK22008290	20	전문가	네. 성급하게 가입하고 중도에 해지하면 ISA 계좌의 장점을 온전히 누릴 수 없으니까 신중하게 결정하는 것이 좋겠죠.				0	2022-09-12 23:14:58	2022-09-12 23:14:58
BK22008290	21	질문자	안 그래도 요즘 하도 ISA 계좌에 관한 이야기가 많아서 궁금했는데, 오늘 대화를 통해서 많이 알게 되어 좋네요. 좋은 정보 알려줘서 고마워요. 또 궁금한 거 생기면 물어볼게요.				1	2022-09-12 23:14:58	2022-09-23 13:25:41
