id	utterance_id	role	text	search_query	search_URL	reference_date	terminate	regDate	updDate
BK22007814	1	질문자	부장님 입냄새가 심해서 앞에서 얘기할 때 마다 정말 괴로워요.				0	2022-09-07 15:32:50	2022-09-14 18:17:36
BK22007814	2	전문가	마스크 써서 그나마 덜 느껴지는거죠.				0	2022-09-07 15:32:50	2022-09-07 15:32:50
BK22007814	3	질문자	그렇긴 한데 점심 때 양치도 항상 하시던데 왜 그렇게 심하게 나는 지 모르겠어요. 입냄새는 보통 원인이 뭐에요?				0	2022-09-07 15:32:50	2022-09-07 15:32:50
BK22007814	4	전문가	입냄새는 충치, 치주염이나 구강건조증, 흡연, 음주, 음식 등 원인이 여러가지가 있는데 보통 90퍼센트 이상은 구강 상태가 원인이죠.	입냄새 원인	https://n.news.naver.com/mnews/article/374/0000083127?sid=004	2016/01/05	0	2022-09-07 15:32:50	2022-09-07 15:32:50
BK22007814	5	질문자	원인이 여러가지라 찾기 힘들 수 있겠네요. 입냄새를 검사할 수 있는 방법은 혹시 없어요?				0	2022-09-07 15:32:50	2022-09-07 15:32:50
BK22007814	6	전문가	할리미터라는 장비를 이용한 검사를 하면 휘발성화합물 농도 측정을 통해서 냄새의 심한 정도를 객관적 수치로 알 수 있어요. 또 원인에 맞는 처방을 위해서 구강 외의 입냄새 원인파악을 위한 검사들이 있는데, 스트레스 영향을 파악할 수 있는 자율신경균형검사와 설태검사가 있고 코와 구강 내 상태를 정밀하게 살피는 방법도 있어요.	입냄새 검사	http://www.healthinnews.co.kr/news/articleView.html?idxno=30820	2022/06/22	0	2022-09-07 15:32:50	2022-09-07 15:32:50
BK22007814	7	질문자	냄새 상태가 수치로 나온다니 제 상태는 어떨지 궁금하네요. 입냄새를 예방할 수 있는 좋은 방법들 없을까요?				0	2022-09-07 15:32:50	2022-09-07 15:32:50
BK22007814	8	전문가	혀에 생긴 설태로 인해 혐기성 세균이 자랄 수 있어서 설태가 생기지 않도록 양치질 시에 칫솔로 혀 안쪽까지 잘 닦아주는 게 좋아요. 그리고 공복 일 때 입냄새가 많이 날 수 있기 때문에 식사를 규칙적으로 하는 것도 방법이에요. 입이 마르지 않도록 수분을 충분히 섭취한다거나 산성 음료수 보다는 물을 마시는 것도 도움이 될 수 있어요.	입냄새 예방법	https://n.news.naver.com/mnews/article/417/0000841246?sid=103	2022/08/10	0	2022-09-07 15:32:50	2022-09-07 15:32:50
BK22007814	9	질문자	일단 혀를 잘 닦아야겠네요. 그럼 혀클리너 사용하는건 어떤가요?				0	2022-09-07 15:32:50	2022-09-20 16:19:08
BK22007814	10	전문가	혀클리너를 쓰면 설태를 없애는 데 효과적이에요. 혀클리너를 목 안쪽까지 넣어서 혀를 부드럽게 긁어내주고 입 안을 물로 헹궈내면 되죠.	입냄새 혀클리너	https://www.topdaily.kr/articles/33272	2020/05/22	0	2022-09-07 15:32:50	2022-09-20 16:19:08
BK22007814	11	질문자	혀클리너를 부장님에게 하나 사드려야할까봐요. 사용할 때 주의할 점이 있을까요?				0	2022-09-07 15:32:51	2022-09-07 15:48:16
BK22007814	12	전문가	하루에 한두번만 쓰는 게 좋고 혀를 너무 강하게 긁지 않아야해요. 강한 자극으로 인해 혀에 상처가 생길 수 있거든요.	혀클리너 사용 주의사항	https://n.news.naver.com/mnews/article/346/0000053324?sid=103	2022/08/19	0	2022-09-07 15:32:51	2022-09-07 15:48:16
BK22007814	13	질문자	너무 자주 써도 안좋은가보네요. 아 구취제거용 치약도 있다던데 그건 어떨까요?				0	2022-09-07 15:32:51	2022-09-07 15:48:16
BK22007814	14	전문가	아연이 포함된 구취 제거 전용 치약을 사용하는 것도 괜찮죠. 전해질인 아연이 구취 유발 가스인 휘발성 황화합물을 효과적으로 제거해줄 수 있거든요.	구취 제거 치약	https://www.hidoc.co.kr/healthstory/news/C0000720714	2022/07/31	0	2022-09-07 15:32:51	2022-09-07 15:48:16
BK22007814	15	질문자	오 그것도 효과가 있군요. 입냅새가 안나 게 양치하는 방법 같은 건 없을까요?				0	2022-09-07 15:32:51	2022-09-07 15:48:16
BK22007814	16	전문가	양치할 때는 치약의 계면활성제가 구강 안에 남을 경우에 구강 안 점막을 건조하게 만들어서 입냄새를 유발하는 요인이 되기 때문에 양치를 한 후 치약의 성분이 입에 남아있지 않게 잘 헹구는 게 중요해요.	입냄새 양치	https://www.hidoc.co.kr/healthstory/news/C0000001237	2014/10/08	0	2022-09-07 15:32:51	2022-09-14 18:17:36
BK22007814	17	질문자	치약이 남아있어도 입냄새 원인이 될 수 있다니 생각도 못했어요. 아 그리고 구강유산균이란 것도 입냄새에 좋다고 파는 걸 봤는데 그것도 효과가 있을까요?				0	2022-09-07 15:32:51	2022-09-07 15:48:16
BK22007814	18	전문가	구강유산균을 먹으면 유산균이 들어가 유해한 균들의 활동을 선택적으로 억제해줘서 입 냄새를 없애는 데 효과적일 수 있어요. 그리고 여러 구강 내 질환들을 예방하는 데도 도움을 줄 수도 있구요.	입냄새 구강유산균	https://www.hidoc.co.kr/healthstory/news/C0000728583	2022/08/30	0	2022-09-07 15:32:51	2022-09-07 15:48:16
BK22007814	19	질문자	구강유산균도 효과가 있군요. 오늘 다양한 내용 많이 알아가네요. 얘기하다 보니 회의시간이 다 돼서 가봐야겠어요.				0	2022-09-07 15:32:51	2022-09-20 16:19:08
BK22007814	20	전문가	네, 늦지 않게 얼른 가보셔요. 다음에 또 얘기 나눠요.				1	2022-09-07 15:32:51	2022-09-20 16:19:08
