id	utterance_id	role	text	search_query	search_URL	reference_date	terminate	regDate	updDate
BK22006026	1	질문자	혹시 알로에를 키워본 적 있으신가요? 제 지인이 집에서 알로에를 키운다고 하던데 그게 가능한가요?				0	2022-08-20 22:38:17	2022-08-29 15:26:21
BK22006026	2	전문가	저는 직접 키워본 적은 없지만 알로에는 다른 식물에 비해 정기적으로 물을 주지 않아도 손쉽게 재배할 수 있는 식물이에요. 최소 환경만 갖춰준다면 일반 가정에서도 가능하죠.	알로에 재배	http://www.enewstoday.co.kr/news/articleView.html?idxno=462776	2015/12/30	0	2022-08-20 22:38:17	2022-08-30 16:10:08
BK22006026	3	질문자	알로에는 키우기 까다롭지 않군요. 알로에의 뜻이 뭔지 궁금하네요.				0	2022-08-20 22:38:17	2022-08-29 15:26:21
BK22006026	4	전문가	알로에는 아랍어 Aloeh에서 파생된 말로 쓰다, 빛나다는 뜻이랍니다. 이름과 같이 알로에의 맛은 쌉싸름하고, 껍질을 벗긴 과육의 모습은 투명하고 빛이 나죠.	알로에	http://news.heraldcorp.com/view.php?ud=20170823000237	2017/08/23	0	2022-08-20 22:38:17	2022-08-20 23:11:08
BK22006026	5	질문자	그런 의미로 알로에가 된 거군요. 알로에는 언제부터 어떤 용도로 사용되었는지 알고 계시나요?				0	2022-08-20 22:38:17	2022-08-29 15:26:21
BK22006026	6	전문가	네, 알로에는 6천 년 전인 고대 이집트 왕조시대부터 쓰였어요. 당시 약용으로 쓰인 알로에는 인류 최초의 약초랍니다.	알로에 고대	https://www.ekn.kr/web/view.php?key=20210108010001635	2021/01/09	0	2022-08-20 22:38:17	2022-08-30 16:10:08
BK22006026	7	질문자	아주 오래전부터 사용되어 왔군요. 그럼 당시에 구체적으로 알로에를 어떻게 활용했는지 알려주세요.				0	2022-08-20 22:38:17	2022-08-30 16:10:08
BK22006026	8	전문가	문헌에 의하면 이집트인들이 화상을 입거나 염증을 치료할 때 알로에를 발랐답니다. 또 클레오파트라가 자신의 아름다움을 유지하기 위한 목적으로 알로에를 즐겨 사용해 서양의 인삼이라고 불리게 되었고요.	알로에 클레오파트라	https://www.gokorea.kr/news/articleView.html?idxno=89486	2019/01/31	0	2022-08-20 22:38:17	2022-08-20 23:11:08
BK22006026	9	질문자	그렇군요, 그럼 알로에가 우리나라에 어떻게 들어오게 된 건가요?				0	2022-08-20 22:38:17	2022-08-30 16:10:08
BK22006026	10	전문가	일단 서양의 인삼인 알로에가 아시아로 전해지게 된 건 알렉산더 대왕의 페르시아 원정으로부터 시작해요. 알로에는 원정길을 따라 이란으로 들어오게 되었고, 실크로드를 통해서 중국, 그리고 우리나라까지 보급된 것으로 전해진답니다.	알로에 보급	https://www.news1.kr/articles/?3686710	2019/08/03	0	2022-08-20 22:38:17	2022-08-20 23:11:08
BK22006026	11	질문자	생각보다 아주 예전부터 우리나라에 들어왔군요. 우리나라에도 알로에에 대한 기록이 있나요?				0	2022-08-20 22:38:17	2022-08-30 16:10:08
BK22006026	12	전문가	네, 1610년 허준의 동의보감에 노회라는 이름으로 소개되어 있는데요. 기록에 의하면 노회는 찬 성질로 독성이 없고, 개선과 열경에 효능이 있다고 적혀 있어요.	알로에 동의보감	http://www.jejudomin.co.kr/news/articleView.html?idxno=107296	2018/12/14	0	2022-08-20 22:38:17	2022-08-30 16:10:08
BK22006026	13	질문자	동의보감에도 나와있다니 신기해요. 아, 혹시 알로에는 종류가 많은가요?				0	2022-08-20 22:38:17	2022-08-20 23:11:08
BK22006026	14	전문가	네, 알로에의 종류는 무려 500여 종이나 된답니다. 이 중 식약처에서 식용으로 인정받은 알로에 종류는 알로에 베라와 알로에 아보레센스, 알로에 사포나리에요.	알로에 종류	http://news.heraldcorp.com/view.php?ud=20170823000237	2017/08/23	0	2022-08-20 22:38:17	2022-08-30 16:10:08
BK22006026	15	질문자	많은 알로에 종류 중 3가지 종류만 식용으로 인정받았군요. 알로에 베라는 많이 들어봤는데 섭취하면 어떤 효능이 있나요?				0	2022-08-20 22:38:17	2022-08-30 16:10:08
BK22006026	16	전문가	알로에 베라의 겔 부분을 섭취하면 면역력 향상과 장, 피부 건강에 도움이 돼요. 수분이 많이 함유되어 있기 때문에 겔을 그대로 사용하거나 음료나 파우더로 가공해 활용된답니다.	알로에 베라 효능	http://news.heraldcorp.com/view.php?ud=20170823000237	2017/08/23	0	2022-08-20 22:38:17	2022-08-29 15:26:21
BK22006026	17	질문자	그렇군요, 저도 한 번 꾸준히 섭취해 봐야겠어요.				0	2022-08-20 22:38:17	2022-08-29 15:26:21
BK22006026	18	전문가	좋은 생각이에요, 이제 알로에에 대한 궁금증이 조금 해소되었나요?				0	2022-08-20 22:38:17	2022-08-29 15:26:21
BK22006026	19	질문자	네, 궁금했던 부분이 다 해결되었어요. 오늘 너무 유익하고 즐거운 시간이었어요.				0	2022-08-20 22:38:17	2022-08-30 16:10:08
BK22006026	20	전문가	저도요, 다른 궁금한 게 있으면 또 연락주시고 다음에 또 대화 나눠요.				1	2022-08-20 22:38:17	2022-08-30 16:10:08
