id	utterance_id	role	text	search_query	search_URL	reference_date	terminate	regDate	updDate
BK22003908	1	질문자	축구 경기를 보다가 궁금한 것이 생겼어요. 넣은 골인데 심판이 반칙을 선언하더라구요. 오프사이드라고 하던데, 그게 뭐죠?				0	2022-08-04 11:16:47	2022-08-04 11:16:47
BK22003908	2	전문가	오프사이드는 공격수가 상대편측에 들어간 공과 상대팀의 끝에서 두 번째 선수보다 더 가까이 있을 때 적용돼요. 같은 편과 먼 곳에서 상대편 영역에 깊게 들어가는 것을 막기 위한 규칙이죠.	축구 오프사이드	https://terms.naver.com/entry.naver?docId=70616&cid=43667&categoryId=43667	2018/06/27	0	2022-08-04 11:16:47	2022-08-12 15:05:53
BK22003908	3	질문자	아, 상대편 선수보다도 상대편 진영에 더 깊숙하게 들어가서 공격하는 걸 막는 규칙이군요. 공격에 집중하다보면 실수를 범할 수도 있겠어요. 이런 점을 상대편 선수가 이용할 수도 있나요?				0	2022-08-04 11:16:47	2022-08-04 11:16:47
BK22003908	4	전문가	네, 그걸 오프사이드 트랩이라고 해요. 말 그대로 오프사이드로 덫을 놓는 기술이죠. 수비수를 앞쪽으로 이동시켜서 공격수가 오프사이드를 범하게끔 만드는 전술이예요.	축구 오프사이드 트랩	http://www.jejuilbo.net/news/articleView.html?idxno=139712	2020/02/18	0	2022-08-04 11:16:47	2022-08-04 11:16:47
BK22003908	5	질문자	오프사이드라는 규칙이 복잡해 보이는데 역으로 전술로 이용하기도 하는군요. 이걸 잘 보고 판단하려면 심판도 여러 명이 있어야겠네요. 축구 경기에서 심판은 몇 명이예요?				0	2022-08-04 11:16:47	2022-08-04 11:16:47
BK22003908	6	전문가	일반적으로는 한 명의 주심, 두 명의 부심, 또 한 명의 대기심에 VAR 두 명으로 진행되고 있어요.	축구 심판	https://ko.wikipedia.org/wiki/%EC%8B%AC%ED%8C%90_(%EC%B6%95%EA%B5%AC)	2022/03/06	0	2022-08-04 11:16:47	2022-08-12 15:05:53
BK22003908	7	질문자	그럼 총 6명의 심판이 있는거네요. 그런데 VAR은 뭐예요?				0	2022-08-04 11:16:47	2022-08-04 11:16:47
BK22003908	8	전문가	VAR은 영상 보조 심판을 일컫는 용어예요. 경기 영상을 판독해서 판정을 내리는 걸 말하죠. 2018 피파 월드컵부터 공식 투입되었어요.	비디오 판독심	https://ko.wikipedia.org/wiki/%EB%B9%84%EB%94%94%EC%98%A4_%ED%8C%90%EB%8F%85%EC%8B%AC	2022/06/19	0	2022-08-04 11:16:47	2022-08-12 15:05:53
BK22003908	9	질문자	아, 영상 판독을 하는 심판이 따로 있군요. 경기를 보다 보면 축구는 패스도 화려한 것 같아요. 패스에도 종류가 있나요?				0	2022-08-04 11:16:47	2022-08-04 11:16:47
BK22003908	10	전문가	패스에도 종류가 있죠. 인사이드 패스, 아웃사이드 패스, 인스텝 해스, 힐 패스 등으로 나누어요.	축구 패스	https://ko.wikipedia.org/wiki/%EC%B6%95%EA%B5%AC	2022/07/18	0	2022-08-04 11:16:47	2022-08-04 11:16:47
BK22003908	11	질문자	패스를 잘 하는 것도 중요하겠네요. 농구에 드리블이 있잖아요, 축구에도 드리블이 있나요?				0	2022-08-04 11:16:47	2022-08-04 11:16:47
BK22003908	12	전문가	축구에도 드리블이 있죠. 축구에서 가장 필수적인 요소 중 하나인걸요. 축구에서 드리블은 이동할 때 상대방의 움직임을 고려해가며 볼을 컨트롤하는 것을 말해요.	축구 드리블	https://ko.wikipedia.org/wiki/%EC%B6%95%EA%B5%AC	2022/07/18	0	2022-08-04 11:16:47	2022-08-12 15:05:53
BK22003908	13	질문자	손으로 공을 터치할 수 있는 것도 아닌데, 공을 내 몸에 밀착시켜서 공격하는 게 쉽지는 않겠어요.				0	2022-08-04 11:16:47	2022-08-04 11:16:47
BK22003908	14	전문가	아무래도 몸이 민첩하게 움직여야 하기 때문에 고도의 훈련이 필요하겠죠.				0	2022-08-04 11:16:47	2022-08-04 11:16:47
BK22003908	15	질문자	정말 그렇겠네요. 근데 태클이라는 게 혹시 축구에서 반칙인가요?				0	2022-08-04 11:16:47	2022-08-04 11:16:47
BK22003908	16	전문가	태클도 하나의 기술이에요. 패스, 드리블 공격을 막거나 상대편의 공을 뺏는 기술이에요.	축구 태클	https://ko.wikipedia.org/wiki/%ED%83%9C%ED%81%B4	2022/02/25	0	2022-08-04 11:16:47	2022-08-12 15:05:53
BK22003908	17	질문자	그렇군요. 축구 경기를 보면 다른 선수에게서 패스된 공을 받을 때 가슴이나 허벅지 등으로 받기도 하던데요, 이걸 부르는 용어가 따로 있을까요?				0	2022-08-04 11:16:47	2022-08-04 11:16:47
BK22003908	18	전문가	흔히 볼트래핑이라고 불리우는 퍼스트 터치가 있죠. 패스를 받을 때 가장 처음 가슴, 허벅지, 인사이드 등으로 볼을 건드려서 멈추게 하거나 방향을 전환할 때 써요.	퍼스트 터치	https://ko.wikipedia.org/wiki/%EC%B6%95%EA%B5%AC	2022/07/18	0	2022-08-04 11:16:47	2022-08-04 11:16:47
BK22003908	19	질문자	알려주셔서 감사해요. 이렇게 설명을 들으니 직접 축구 경기를 보러 가고 싶어지네요. 주말에 같이 축구 경기 보러 갈래요?				0	2022-08-04 11:16:47	2022-08-04 11:16:47
BK22003908	20	전문가	아주 좋죠. 주중에 시간 있으실 때 같이 약속 잡아요.				1	2022-08-04 11:16:47	2022-08-12 15:05:53
