id	utterance_id	role	text	search_query	search_URL	reference_date	terminate	regDate	updDate
BK22007586	1	질문자	참기름이나 들기름은 우리 몸에 좋다고 하잖아. 참기름과 들기름의 어떤 성분이 건강에 좋은 거야?				0	2022-09-05 12:38:21	2022-09-05 13:21:52
BK22007586	2	전문가	먼저 참기름에는 리놀렌산 40%, 올레산 40%의 지방산이 함유되어 있어. 이 두 지방산은 불포화지방산으로 혈액 내 콜레스테롤과 중성지방이 만들어지는 것을 막아주는 역할을 해.	참기름	http://www.ikpnews.net/news/articleView.html?idxno=46651	2022/02/20	0	2022-09-05 12:38:21	2022-09-05 13:21:52
BK22007586	3	질문자	참기름에는 우리 몸에 좋은 불포화지방산이 많이 들어 있구나. 불포화지방산 말고 참기름에 좋은 성분은 뭐가 더 있어?				0	2022-09-05 12:38:21	2022-09-05 13:21:52
BK22007586	4	전문가	참기름에는 리그난이라는 참깨의 2차 대사로 생성되는 강력한 항산화 물질이 들어 있어. 리그난의 노화억제, 지질과산화 억제, 비타민E를 증가시키는 효과는 동물실험으로 확인되었어. 또, 세사민은 리그난 물질의 하나로 고혈압을 예방하는 데 효과적이야.	참기름 효능	https://www.hidoc.co.kr/healthstory/news/C0000440925	2018/11/12	0	2022-09-05 12:38:21	2022-09-05 13:21:52
BK22007586	5	질문자	참기름은 건강에 좋은 기름이 맞구나. 그럼, 들기름은 어떤 성분이 들어 있어?				0	2022-09-05 12:38:21	2022-09-05 13:21:52
BK22007586	6	전문가	기름 성분이 60%인 들기름은 오메가 3 중에서도 알파리놀렌산이 많이 들어 있어. 오메가 3는 우리 몸에서 혈관을 청소하고, 항염증 작용을 하고 뇌 건강에도 도움을 주는 성분이야.	들기름	http://www.mkhealth.co.kr/news/articleView.html?idxno=52472	2021/03/28	0	2022-09-05 12:38:21	2022-09-05 13:21:52
BK22007586	7	질문자	들기름은 기름 종류지만 혈관을 깨끗하게 하는 역할을 하는구나. 들기름을 얼마나 먹으면 건강에 좋은 거야?				0	2022-09-05 12:38:21	2022-09-05 13:21:52
BK22007586	8	전문가	들기름을 건강한 성인을 기준으로 밥숟가락의 반 정도로 약 3그램 정도 매일 먹으면 만성 질환을 예방하는 효과가 있다고 농촌진흥청에서 발표했어.	들기름 효능	https://health.chosun.com/site/data/html_dir/2022/01/03/2022010301539.html	2022/01/04	0	2022-09-05 12:38:21	2022-09-05 13:21:52
BK22007586	9	질문자	나도 건강을 위해서 들기름을 꾸준히 먹어 봐야겠다. 그럼, 이렇게 몸에 좋은 참기름과 들기름은 어떻게 요리에 활용하면 좋을까?				0	2022-09-05 12:38:21	2022-09-05 13:21:52
BK22007586	10	전문가	불고기를 양념할 때 먼저 참기름을 먼저 넣고 재우면 고기가 연해지면서 맛이 향상되는 효과가 있어. 시금치나물을 무칠 때에 참기름을 넣으면 비타민이 더 잘 흡수되게 도와주는 역할도 해.	참기름 요리	http://www.foodnews.co.kr/news/articleView.html?idxno=94810	2021/11/25	0	2022-09-05 12:38:21	2022-09-05 13:21:52
BK22007586	11	질문자	불고기 맛있게 재우는 팁 하나 배웠네. 그럼, 들기름은 어떤 요리에 사용하면 돼?				0	2022-09-05 12:38:21	2022-09-05 13:21:52
BK22007586	12	전문가	매운탕을 끓일 때 양념장에 들기름을 약간 넣으면 생선 비린내를 없애주는 역할을 하고, 도라지 볶을 때 넣으면 느끼한 냄새도 제거할 수 있어.	들기름 요리	https://health.chosun.com/site/data/html_dir/2022/01/03/2022010301539.html	2022/01/04	0	2022-09-05 12:38:21	2022-09-05 13:21:52
BK22007586	13	질문자	들기름은 냄새를 잡는 요리에 활용하면 좋구나. 그럼, 참기름과 들기름 보관 방법도 알려 줘.				0	2022-09-05 12:38:21	2022-09-05 13:21:52
BK22007586	14	전문가	참기름은 리그난 성분이 들어있어서 산패를 막는 역할을 해. 그래서, 상온에 보관하는 것이 좋아. 낮은 온도에 보관하면 참기름 향이 떨어져서 좋지 않아.	참기름 보관	http://digitalchosun.dizzo.com/site/data/html_dir/2019/09/04/2019090480200.html	2019/09/04	0	2022-09-05 12:38:21	2022-09-05 13:21:52
BK22007586	15	질문자	참기름은 냉장고에 보관하면 향이 떨어지는구나. 그럼, 들기름은 어디다 보관하면 돼?				0	2022-09-05 12:38:21	2022-09-05 13:21:52
BK22007586	16	전문가	들기름에는 참기름에 들어 있는 리그난 같은 항산화물질이 없어서 짙은 색병에 담아 뚜껑을 꼭 닫아 산소의 접촉을 막고 냉장고에 보관해야 해.	들기름 보관	http://www.viva100.com/main/view.php?key=20160818010004944	2016/08/19	0	2022-09-05 12:38:21	2022-09-05 13:21:52
BK22007586	17	질문자	들기름은 냉장고에 보관하는 거구나. 그럼, 둘 다 개봉하면 빨리 먹어야 하는 거야?				0	2022-09-05 12:38:21	2022-09-05 13:21:52
BK22007586	18	전문가	참기름은 오랫동안 두고 먹어도 괜찮지만 들기름은 개봉했으면 1에서 2개월 이내에 빨리 먹는 것이 좋아. 만약 들기름을 오래 보관해야 하면 참기름과 들기름을 2대 8비율로 섞어서 보관하면 돼. 이렇게 하면 보관도 오래 할 수 있지만, 풍미와 영양도 향상되는 효과가 있어.	참기름 들기름 보관	https://www.hidoc.co.kr/healthstory/news/C0000440925	2018/11/12	0	2022-09-05 12:38:21	2022-09-05 13:21:52
BK22007586	19	질문자	참기름과 들기름을 섞어서 보관하는 방법도 있구나. 많이 쓰는 기름들이지만 잘 몰랐는데, 네 설명 들으면서 좋은 정보 많이 얻었어, 고마워.				0	2022-09-05 12:38:21	2022-09-05 13:21:52
BK22007586	20	전문가	고맙긴, 나도 이야기 나눠서 즐거웠어. 우리는 다음에 또 이야기하자, 안녕.				1	2022-09-05 12:38:21	2022-09-16 12:10:28
