id	utterance_id	role	text	search_query	search_URL	reference_date	terminate	regDate	updDate
BK22000769	1	질문자	이번에 송해 선생님 별세하셨단 기사 봤어? 어릴 적부터 티비를 통해 보던 분이 돌아가셨다니까 마음이 안좋더라.				0	2022-07-20 16:10:15	2022-08-02 12:01:32
BK22000769	2	전문가	나도 마음이 좋지 않았어. 송해 선생님은 방송 경력만 68년이시거든. 우리가 어릴 때부터 쭉 보아온 전국 노래자랑이 34년째 방송 중인데 그걸 진행하는 동안 바뀐 피디만 300명이 넘었으니 정말 오랫동안 방송을 하신 거지.	송해 선생님 방송 경력	http://news.heraldcorp.com/view.php?ud=20220608000746	2022/06/08	0	2022-07-20 16:10:15	2022-07-21 09:58:07
BK22000769	3	질문자	그렇게 꾸준히 방송을 하신 것도 정말 대단하신 것 같아. 그런 분의 어린 시절은 어땠을까? 우리랑 같았겠지?				0	2022-07-20 16:10:15	2022-08-02 12:01:32
BK22000769	4	전문가	마냥 천진난만했던 우리랑은 조금 다른 어린시절을 보내셨어. 6.25전쟁 때 어머니와 헤어지셨거든. 가정을 이루신 다음에는 아들이 22살이라는 어린나이에 교통사고로 세상을 떠나셨지. 우리와 같지만 또 다른 희노애락을 사셨던 분이야.	송해 선생님 유년시절	https://isplus.joins.com/2022/06/09/enter/entertainment/20220609114935760.html	2022/06/09	0	2022-07-20 16:10:15	2022-07-21 09:58:07
BK22000769	5	질문자	어린 나이에 겪은 일이 실 텐데 도저히 상상이 안된다. 송해 선생님은 전국 노래자랑에서만 뵈었던 것 같아. 다른 방송활동도 하셨었나?				0	2022-07-20 16:10:15	2022-08-02 12:01:32
BK22000769	6	전문가	우리가 기억하는 건 전국 노래장이지만 군 제대 후에 창공악극단에서 가수로 활동하셨어. 가수로 활동하면서 진행도 하셨지. 그 이후에는 여러 방송사에서 코미디언으로 활동하셨었는데 워낙 방송 경력이 길잖아. 우리가 기억하는 것보다 더 많은 프로그램들을 하셨을 거야.	송해 방송활동	https://www.nocutnews.co.kr/news/5768727	2022/06/08	0	2022-07-20 16:10:15	2022-07-21 09:58:07
BK22000769	7	질문자	경력이 길어서 그러실 수도 있겠다. 실제로 뵌 적은 없어도 참 따듯하고 재밌는 분이라고 느껴졌었어. 송해 선생님은 사람들에게 무슨 말을 전하고 싶으셨던 걸까?				0	2022-07-20 16:10:15	2022-08-02 12:01:32
BK22000769	8	전문가	사람들마다 받아들이는 의미가 여러 가지였을 거야. 송해 선생님은 사람들에게 희망을 주고 싶어 하셨어. 인생의 굴곡진 시련에도 희망을 놓으면 안 안된다는 것을 항상 강조하셨었어.	사람들에게 송해의 의미	http://star.ohmynews.com/NWS_Web/OhmyStar/at_pg.aspx?CNTN_CD=A0002841725&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news	2022/06/09	0	2022-07-20 16:10:15	2022-07-21 09:58:07
BK22000769	9	질문자	주변에서 쉽게 들을 수 있는 말인데도 감회가 다르다. 이렇게 좋은 분에게는 정부가 나서서 훈장은 같은 걸 드려야하는데 말야.				0	2022-07-20 16:10:15	2022-08-02 12:01:32
BK22000769	10	전문가	대중문화예술이 발전하는데 기여하신 분이신데 당연히 많은 상을 받으셨지. 최근에는 윤석열 대통령이 송해 선생님께 금관문화훈장을 추서 하는 일도 있었어.	송해 훈장	https://news.kbs.co.kr/news/view.do?ncd=5481072&ref=A	2022/06/08	0	2022-07-20 16:10:15	2022-07-21 09:58:07
